Team,Record,BRRtg,TeamID,Season
arizona,31-3,2.39,1112,2022
gonzaga,26-3,2.22,1211,2022
kansas,28-6,2.12,1242,2022
auburn,27-5,2.05,1120,2022
tennessee,26-7,2.01,1397,2022
baylor,26-6,2,1124,2022
villanova,26-7,1.97,1437,2022
providence,25-5,1.97,1344,2022
kentucky,26-7,1.88,1246,2022
houston,29-5,1.85,1222,2022
purdue,27-7,1.84,1345,2022
ucla,25-7,1.84,1417,2022
colorado state,24-5,1.8,1161,2022
wisconsin,24-7,1.78,1458,2022
murray state,27-2,1.77,1293,2022
duke,28-6,1.76,1181,2022
saint mary's (ca),24-7,1.71,1388,2022
texas tech,25-9,1.7,1403,2022
arkansas,25-8,1.62,1116,2022
usc,26-7,1.62,1425,2022
boise state,26-7,1.59,1129,2022
uconn,23-9,1.56,1163,2022
san diego state,23-8,1.55,1361,2022
iowa,26-9,1.52,1234,2022
illinois,22-9,1.5,1228,2022
davidson,26-6,1.44,1172,2022
wyoming,24-8,1.4,1461,2022
san francisco,23-9,1.38,1362,2022
creighton,22-11,1.38,1166,2022
unc,24-9,1.37,1314,2022
lsu,22-11,1.37,1261,2022
michigan state,22-12,1.35,1277,2022
texas,21-11,1.34,1400,2022
seton hall,20-10,1.34,1371,2022
south dakota state,28-4,1.33,1355,2022
alabama,19-13,1.3,1104,2022
north texas,22-6,1.27,1317,2022
marquette,19-12,1.24,1266,2022
texas christian,20-12,1.22,1395,2022
texas a&m,22-12,1.22,1401,2022
vcu,21-9,1.21,1433,2022
loyola (il),24-7,1.2,1260,2022
iowa state,20-12,1.19,1235,2022
miami (fl),23-10,1.18,1274,2022
ohio state,19-11,1.18,1326,2022
new mexico state,23-6,1.18,1308,2022
smu,23-8,1.17,1374,2022
memphis,21-10,1.16,1272,2022
alabama-birmingham,25-7,1.12,1412,2022
st. bonaventure,20-9,1.1,1382,2022
colorado,21-11,1.09,1160,2022
xavier,18-13,1.08,1462,2022
notre dame,21-10,1.08,1323,2022
wake forest,23-9,1.08,1448,2022
chattanooga,25-7,1.07,1151,2022
byu,20-10,1.06,1140,2022
saint louis,22-11,1.05,1387,2022
michigan,17-14,1.05,1276,2022
virginia tech,23-12,1.05,1439,2022
iona,25-7,1.03,1233,2022
belmont,24-7,1.02,1125,2022
indiana,20-13,1.02,1231,2022
oklahoma,18-15,1.01,1328,2022
vermont,27-5,0.98,1436,2022
santa clara,21-11,0.96,1365,2022
richmond,23-12,0.95,1350,2022
florida,19-13,0.95,1196,2022
toledo,25-7,0.93,1405,2022
dayton,23-10,0.92,1173,2022
