Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
gonzaga,WCC,32.97,121.8,88.8,72.5,-0.038,3.78,104.5,100.8,-2.56,1211,2022
arizona,P12,27.21,119.6,92.4,72.2,0.046,6.34,106,99.7,-0.22,1112,2022
kentucky,SEC,26.59,120.2,93.6,67.3,-0.032,9.08,106.9,97.9,-2.76,1246,2022
houston,Amer,26.5,117.3,90.9,63.8,-0.007,4.29,104.6,100.3,0.3,1222,2022
baylor,B12,26.32,117.9,91.6,67.2,0.019,10.71,107.4,96.7,-1.65,1124,2022
kansas,B12,25.49,119.4,93.9,69.1,0.035,12.02,107.6,95.6,4.52,1242,2022
tennessee,SEC,25.24,111.4,86.2,67.2,0.044,11.76,108.7,97,4.68,1397,2022
ucla,P12,24.85,116.1,91.2,65.5,-0.028,8.5,107.5,99,4.49,1417,2022
texas tech,B12,24.64,109.7,85.1,66.5,-0.025,10.21,107.5,97.2,-7.93,1403,2022
auburn,SEC,24.45,113.6,89.1,70,-0.039,8.77,107.2,98.5,4.16,1120,2022
villanova,BE,24.11,118,93.8,62.6,0.051,10.76,108.6,97.8,8.74,1437,2022
duke,ACC,23.71,119.4,95.7,67.4,-0.011,6.14,107.4,101.2,-4.39,1181,2022
iowa,B10,23.53,121.5,98,69.6,-0.05,7.63,107.6,100,-6.3,1234,2022
purdue,B10,22.29,121.3,99,65.8,0.035,8.98,108.8,99.8,-3.76,1345,2022
texas,B12,20.41,111.8,91.4,63.1,-0.044,9.52,107.1,97.6,-7.6,1400,2022
saint mary's,WCC,19.81,109.8,90,63.5,0.037,6.9,107.2,100.3,3.83,1388,2022
illinois,B10,19.59,113.7,94.1,67.1,0.025,10.23,109.1,98.9,1.6,1228,2022
connecticut,BE,19.33,113.9,94.6,64.9,-0.03,7.53,106,98.4,-3.46,1163,2022
lsu,SEC,19.08,107.6,88.6,68.6,-0.041,9.13,107.7,98.6,-0.99,1261,2022
arkansas,SEC,19.02,111.1,92.1,70.6,0.027,7.93,106.8,98.9,-2.79,1116,2022
san francisco,WCC,18.37,110.8,92.4,68.7,-0.029,5.62,105.8,100.2,2.79,1362,2022
san diego st.,MWC,18.15,104.1,85.9,65.3,0.013,6.71,106.2,99.5,3.17,1361,2022
virginia tech,ACC,17.86,114.3,96.4,62.9,-0.054,6.47,107,100.5,-0.7,1439,2022
loyola chicago,MVC,17.69,110.9,93.2,64.6,0.016,3.26,104.6,101.3,3.65,1260,2022
alabama,SEC,17.36,116.1,98.7,71.7,-0.022,12.79,109.7,96.9,10.22,1104,2022
boise st.,MWC,16.41,108.5,92.1,64.6,0.027,6,105.2,99.2,0.92,1129,2022
murray st.,OVC,16.39,111.5,95.1,65.8,0.075,-3.65,101.2,104.9,4.48,1293,2022
memphis,Amer,16.22,110.4,94.1,70.3,-0.018,6.75,106.4,99.6,4.87,1272,2022
north carolina,ACC,16.04,113.1,97,70.1,0.079,7.26,107.8,100.6,3.76,1314,2022
oklahoma,B12,15.96,110.4,94.5,64.8,-0.044,11.92,107.6,95.7,-1.62,1328,2022
colorado st.,MWC,15.86,114.2,98.3,65.1,0.13,5.61,105.3,99.6,-1.89,1161,2022
ohio st.,B10,15.82,116.6,100.8,65,-0.015,9.48,108.4,98.9,2.47,1326,2022
michigan,B10,15.65,114.2,98.6,66.3,-0.026,11.72,110,98.2,6.6,1276,2022
wisconsin,B10,15.58,110.4,94.8,66.5,0.119,10.05,109,98.9,2.74,1458,2022
seton hall,BE,14.97,108.5,93.5,67.3,0.011,8.82,107.7,98.9,1.14,1371,2022
indiana,B10,14.94,107.6,92.6,67,-0.044,8.26,108.5,100.2,-6.01,1231,2022
wake forest,ACC,14.93,111.6,96.6,70,-0.012,2.89,106.1,103.2,-9.35,1448,2022
