School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
abilene christian,33,23,10,0.697,2.7,-2.06,2519,2191,71.8,104.7,0.374,0.357,0.537,48,56.6,15.1,6.3,2022,1101
air force,29,11,18,0.379,-5.14,1.87,1712,1915,63.4,93.1,0.268,0.435,0.528,44.6,57.7,8.6,9.1,2022,1102
akron,33,24,9,0.727,0.83,-4.3,2349,2073,64.3,110.3,0.397,0.419,0.566,53.1,48.6,9.1,9.3,2022,1103
alabama a&m,30,12,18,0.4,-14.24,-8.67,1843,2010,68.3,88.5,0.335,0.249,0.459,48.8,43.4,10.1,8.8,2022,1105
uab,34,27,7,0.794,11.13,-0.68,2743,2254,70.6,113.1,0.285,0.332,0.56,53.2,43.7,13.5,11.9,2022,1412
alabama state,31,10,21,0.323,-11.86,-5.26,2160,2332,71.4,96.7,0.378,0.33,0.52,48.3,49.7,10.5,9.6,2022,1106
alabama,32,19,13,0.594,15.51,11.95,2559,2445,73.3,108.7,0.336,0.48,0.55,52.5,52.9,9.5,11.9,2022,1104
albany (ny),31,13,18,0.419,-9.7,-5.67,1917,2042,65.8,93.6,0.25,0.323,0.492,48.4,40.9,10.2,7.5,2022,1107
alcorn state,33,17,16,0.515,-8.77,-4.44,2200,2343,69,95.9,0.331,0.295,0.496,51,42.5,10.8,7.6,2022,1108
american,32,10,22,0.313,-15.29,-7.82,2031,2270,66.8,94.2,0.256,0.28,0.521,48.1,49.9,9.7,8.3,2022,1110
appalachian state,33,19,14,0.576,-0.95,-1.15,2207,2066,65.3,102,0.267,0.427,0.511,50.4,51.7,8.6,6.7,2022,1111
arizona state,31,14,17,0.452,8.17,10.01,2027,2084,67.9,94.7,0.212,0.372,0.492,47.2,53.4,9.7,12.4,2022,1113
arizona,34,31,3,0.912,24,6.97,2875,2296,72.9,115.5,0.351,0.357,0.59,55.2,65.4,9.2,13.4,2022,1112
little rock,28,9,19,0.321,-11.71,-0.39,1868,2047,68,96.3,0.325,0.379,0.524,47.3,55.9,10,6.3,2022,1114
arkansas-pine bluff,31,7,24,0.226,-18.74,-4.36,2055,2426,69.2,95.4,0.345,0.407,0.51,43.9,50.1,10.3,6.4,2022,1115
arkansas state,29,18,11,0.621,-2.99,-3.22,2055,1974,69.5,101.5,0.332,0.306,0.537,51.5,60.7,11.3,8.5,2022,1117
arkansas,33,25,8,0.758,16.52,8.12,2539,2262,72.1,106,0.379,0.343,0.538,52.5,52.9,10.6,11.9,2022,1116
army,31,15,16,0.484,-10.46,-7.46,2183,2182,69.9,99.9,0.316,0.355,0.516,51.3,48.4,11.1,5.3,2022,1119
auburn,32,27,5,0.844,20.4,8.72,2519,2145,71.4,108.5,0.316,0.399,0.538,52.2,52.2,12.1,21.1,2022,1120
austin peay,29,12,17,0.414,-9.71,-3.08,1875,2004,66.1,96.5,0.266,0.443,0.508,48.6,58.6,9.6,6.1,2022,1122
ball state,31,14,17,0.452,-7.59,-4.16,2304,2380,71.6,103.4,0.374,0.412,0.549,49.6,51.8,8.4,7,2022,1123
baylor,32,26,6,0.813,21.89,9.01,2448,2036,68.5,111.2,0.285,0.377,0.553,53.7,56.1,12.8,9.6,2022,1124
bellarmine,33,20,13,0.606,-3.45,-0.97,2314,2217,63.8,109.5,0.217,0.409,0.568,48.3,54.4,8.8,5.8,2022,1468
belmont,32,25,7,0.781,7.02,-2.69,2512,2182,70.4,110.7,0.269,0.435,0.586,50.2,62.4,13,10.9,2022,1125
bethune-cookman,30,9,21,0.3,-14.53,-6.53,1901,2086,67.4,93.3,0.287,0.252,0.491,48.2,45.4,11.7,7.1,2022,1126
binghamton,29,12,17,0.414,-10.3,-6.07,1962,1983,67.3,100.1,0.23,0.356,0.523,50.5,44.8,8.4,10,2022,1127
boise state,34,27,7,0.794,12.7,5.46,2336,2066,65,104.5,0.35,0.388,0.54,53.9,47.1,9,9.9,2022,1129
boston college,33,13,20,0.394,3.67,4.85,2209,2248,65.5,100.7,0.296,0.324,0.511,50.9,50.2,10.8,8.6,2022,1130
boston university,33,21,12,0.636,-4.56,-7.81,2353,2225,65.6,107.5,0.291,0.376,0.556,53.5,43,8.7,6.8,2022,1131
bowling green state,31,13,18,0.419,-8.48,-4.1,2488,2495,74.4,107.1,0.315,0.371,0.535,50.3,44.3,9.8,9.4,2022,1132
bradley,31,17,14,0.548,6.24,1.64,2185,2021,68.1,103.2,0.279,0.397,0.536,54.9,52.4,9.3,13.1,2022,1133
brigham young,32,22,10,0.688,10.23,5.63,2358,2172,69,106,0.272,0.37,0.546,54.9,52.1,7.1,8.6,2022,1140
brown,29,13,16,0.448,-3.25,-1.85,2058,2015,69.7,101.8,0.308,0.393,0.529,50.7,47.9,9.6,11.1,2022,1135
bryant,31,22,9,0.71,-4.4,-7.46,2415,2255,72.7,106.3,0.322,0.435,0.539,52,51.5,8.6,10.1,2022,1136
bucknell,32,9,23,0.281,-14.58,-6.33,2277,2541,68.3,101.8,0.283,0.376,0.561,47.1,57.6,6.6,7.9,2022,1137
buffalo,30,19,11,0.633,2.21,-2.9,2398,2168,72.5,110.3,0.26,0.381,0.545,55,50.6,9.8,10.8,2022,1138
butler,33,14,19,0.424,4.74,9.45,2107,2209,64.9,97.2,0.304,0.417,0.512,49.1,48.5,7.9,7,2022,1139
cal poly,28,7,21,0.25,-10.13,-2.84,1721,1885,65.5,92.5,0.368,0.35,0.505,51.3,49.7,7.1,7,2022,1142
cal state bakersfield,28,9,19,0.321,-7.05,-1.49,1816,1857,65.6,98.9,0.303,0.231,0.492,52.8,40.9,9.4,8.4,2022,1167
cal state fullerton,31,21,10,0.677,0.38,-2.52,2178,2051,67.3,104.5,0.359,0.302,0.542,51.3,45.6,10.8,5.8,2022,1168
cal state northridge,30,7,23,0.233,-11.57,-0.96,1847,2137,65.7,92.5,0.293,0.302,0.481,46,40.6,10.8,7.5,2022,1169
california baptist,33,18,15,0.545,-3.2,-3.2,2344,2220,69.5,101.7,0.371,0.431,0.541,51.9,65.1,7.3,7.2,2022,1465
uc davis,24,13,11,0.542,-3.22,-3.81,1628,1593,67.9,99.3,0.291,0.321,0.524,49.3,45.3,8.8,7.8,2022,1413
uc irvine,25,15,10,0.6,2.07,-0.46,1656,1507,66.1,100.3,0.296,0.282,0.527,53,44.8,9.1,9.4,2022,1414
uc riverside,28,16,12,0.571,-0.47,-1.44,1865,1784,66.1,99.5,0.268,0.407,0.536,52.1,54.6,7.8,3.3,2022,1415
uc san diego,29,13,16,0.448,-6.57,-3.32,2036,2046,68.5,102,0.321,0.456,0.562,46.4,56.7,8.4,4.6,2022,1471
uc santa barbara,28,17,11,0.607,1.81,-3.96,2066,1841,67,107.8,0.374,0.3,0.574,53.2,58,9.1,7.7,2022,1364
california,32,12,20,0.375,4.49,7.49,2018,2114,64.9,96.4,0.253,0.316,0.501,50.9,45.2,7.4,7.2,2022,1143
campbell,29,16,13,0.552,-4.9,-5.82,1919,1798,63.9,102.7,0.275,0.369,0.542,49.7,56,9.6,7,2022,1144
canisius,32,11,21,0.344,-7.85,-2.63,2192,2288,69.6,97.6,0.299,0.397,0.494,49.3,53.5,8.6,6.6,2022,1145
central arkansas,31,11,20,0.355,-13.58,-1.44,2269,2515,73,99.4,0.227,0.352,0.523,48.6,51.5,9.2,8,2022,1146
central connecticut state,32,8,24,0.25,-17.29,-6.95,1977,2308,66.2,92.2,0.291,0.392,0.495,46.6,49.3,9.3,6.3,2022,1148
central florida,30,18,12,0.6,6.32,4.72,2095,2047,68.1,102.2,0.285,0.431,0.528,49.7,58.8,10.2,10.9,2022,1416
central michigan,30,7,23,0.233,-12.08,-1.05,1978,2309,68.8,95.4,0.305,0.401,0.509,46.6,49.7,9.1,9,2022,1141
charleston southern,31,6,25,0.194,-17.68,-4.32,2122,2356,71.3,95.6,0.304,0.454,0.507,50,49.8,9.1,8.1,2022,1149
charlotte,31,17,14,0.548,-1.49,-0.3,2171,2208,66.7,105.1,0.28,0.398,0.564,49,55.4,7.2,8,2022,1150
chattanooga,34,27,7,0.794,5.94,-1.38,2543,2199,66,112.5,0.267,0.394,0.566,53.8,47.4,10.8,6.6,2022,1151
chicago state,32,7,25,0.219,-13.88,-1.6,1987,2380,66.7,93,0.294,0.438,0.487,48.3,43.3,8.2,6.4,2022,1152
cincinnati,33,18,15,0.545,7.59,4.44,2291,2176,68.6,101.2,0.296,0.424,0.499,49.8,53.3,9.2,9.7,2022,1153
the citadel,31,13,18,0.419,-6.74,-1.92,2381,2382,71,106,0.295,0.498,0.554,49.5,59.7,6.5,9.1,2022,1154
clemson,33,17,16,0.515,9.31,6.04,2367,2259,66.6,106.8,0.298,0.378,0.555,51.4,55.2,8.8,7.2,2022,1155
cleveland state,30,20,10,0.667,-1.97,-6.11,2268,2096,68.6,108,0.363,0.342,0.561,51.8,60.5,12.3,10.4,2022,1156
coastal carolina,29,16,13,0.552,0.06,-2.31,2111,1893,67.2,107.4,0.319,0.353,0.543,54.1,51,9.8,11.3,2022,1157
colgate,34,23,11,0.676,0.84,-6.95,2586,2282,67.8,111.7,0.266,0.423,0.581,52,62,9.2,9.6,2022,1159
college of charleston,32,17,15,0.531,0.21,-1.54,2502,2446,74.3,104.5,0.304,0.376,0.536,54.7,47.2,10.6,7.2,2022,1158
colorado state,30,25,5,0.833,12.36,4.98,2212,1972,65.9,111,0.304,0.389,0.588,50.1,53.4,9.4,10.1,2022,1161
colorado,32,21,11,0.656,10.63,6.6,2277,2148,68.4,103.2,0.351,0.333,0.545,53.6,53.7,8.1,8.7,2022,1160
