School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
abilene christian,31,10,21,0.323,-16.98,-6.12,1976,2186,65.9,96.7,0.289,0.362,0.516,44.6,56.7,9.9,3.5,0.482,17.4,25.5,0.21,2015,1101
air force,31,14,17,0.452,-1.5,-0.37,2037,2017,61.1,107.1,0.311,0.399,0.567,49.4,65.1,10.3,6.9,0.548,17.1,29.1,0.205,2015,1102
akron,35,21,14,0.6,4.2,0.08,2382,2203,64.7,104.8,0.311,0.473,0.523,50.5,52.8,10.1,14.8,0.498,15.8,33.4,0.205,2015,1103
alabama a&m,29,9,20,0.31,-16.96,-9.43,1797,1988,64.5,95.6,0.419,0.376,0.489,49.5,58.2,8.8,7.1,0.451,18.5,35.8,0.271,2015,1105
alabama-birmingham,34,19,15,0.559,1.78,0.97,2341,2301,65.8,101.7,0.364,0.295,0.523,51.1,59.8,9.8,13.1,0.479,17.2,34.1,0.27,2015,1412
alabama state,29,19,10,0.655,-8.83,-12.57,2090,1937,69.8,102.9,0.35,0.276,0.515,53.5,51.6,9.1,9.7,0.487,16.5,35.9,0.228,2015,1106
alabama,32,18,14,0.563,10.28,8.15,2135,2049,63,104.9,0.44,0.405,0.546,50,46.6,10.2,12.4,0.502,16.9,30.4,0.317,2015,1104
albany (ny),32,24,8,0.75,-0.44,-5.72,2096,1927,61.2,106.6,0.399,0.341,0.549,53.8,47.3,9.2,4.9,0.501,16.5,32.5,0.303,2015,1107
alcorn state,32,6,26,0.188,-20.64,-9.84,2066,2377,68.3,94.6,0.378,0.297,0.47,46.4,39.4,8.7,6.6,0.43,14.4,31.1,0.248,2015,1108
american,33,17,16,0.515,-3.37,-3.52,1938,1933,57.1,101.4,0.344,0.386,0.563,45.7,59.7,10.3,9.3,0.534,17.8,21.3,0.243,2015,1110
appalachian state,29,12,17,0.414,-9.94,-3.32,1841,2033,66.5,95.4,0.335,0.367,0.496,50,49.9,6.3,6,0.456,17.8,31.2,0.238,2015,1111
arizona state,32,17,15,0.531,9.85,6.85,2222,2126,66,103.6,0.433,0.368,0.542,52.6,54.8,8.8,6.8,0.509,18,31.9,0.289,2015,1113
arizona,34,31,3,0.912,24.8,6.98,2599,1993,66.8,114,0.471,0.258,0.572,56.7,53.2,10.7,8.9,0.536,14.5,34.1,0.329,2015,1112
arkansas-little rock,31,13,18,0.419,-5.46,-3.89,2146,2180,65.5,102.8,0.355,0.358,0.516,48.2,51.3,8.3,7.5,0.478,13.7,28.8,0.25,2015,1114
arkansas-pine bluff,32,12,20,0.375,-15.45,-8.42,1915,2140,64.7,92.2,0.356,0.374,0.5,45,49.2,13.6,10.5,0.463,20.5,30.5,0.242,2015,1115
arkansas state,29,11,18,0.379,-10.24,-3.95,1869,2018,66.9,95.5,0.325,0.315,0.496,49.1,48.3,7.9,8,0.459,17.3,30.3,0.228,2015,1117
arkansas,34,26,8,0.765,14.75,6.87,2653,2385,70.2,110.2,0.373,0.311,0.541,50.3,58.9,11,11.3,0.502,14.1,35.6,0.27,2015,1116
army,30,15,15,0.5,-6.29,-4.77,2164,2163,69,103.2,0.315,0.394,0.532,49.3,56.1,9.2,9.9,0.505,16.4,30.4,0.214,2015,1119
auburn,35,15,20,0.429,3.61,8.49,2378,2523,67.9,99,0.484,0.386,0.514,46,49.5,9.9,7.7,0.471,16.5,28,0.322,2015,1120
austin peay,30,8,22,0.267,-12.59,-2.95,1937,2178,68.2,94.6,0.411,0.308,0.486,50.3,54.3,9.3,10.7,0.444,17.9,33,0.274,2015,1122
ball state,30,7,23,0.233,-4.5,0.6,1961,2070,64,99.9,0.355,0.433,0.531,50.2,57.2,8.1,7.9,0.497,18.8,30.2,0.246,2015,1123
baylor,33,24,9,0.727,19,10.19,2293,1991,62.9,109.6,0.388,0.332,0.529,55.7,60.8,12.5,10.7,0.496,16.2,42.2,0.26,2015,1124
belmont,32,22,10,0.688,-0.07,-3.68,2383,2251,67.6,110.1,0.332,0.482,0.59,50.5,59.2,9.5,7.1,0.568,18,29.3,0.229,2015,1125
bethune-cookman,32,11,21,0.344,-15.41,-10.34,1899,2003,61.3,96.7,0.429,0.346,0.503,51.1,42.1,8.9,8.2,0.452,19.4,35.6,0.308,2015,1126
binghamton,32,6,26,0.188,-13.18,-3.22,1845,2124,63.4,90.7,0.387,0.347,0.488,46.9,43.9,9.1,7.7,0.45,18.8,26.5,0.255,2015,1127
boise state,33,25,8,0.758,10.34,1.41,2335,1989,62.6,110.9,0.329,0.417,0.571,51.9,49.3,9.5,7.6,0.54,14.3,28.2,0.241,2015,1129
boston college,32,13,19,0.406,6.64,8.27,2105,2157,63.9,101.4,0.35,0.382,0.541,48,56.7,8.8,8.3,0.507,16.8,26.1,0.247,2015,1130
boston university,30,13,17,0.433,-5.39,-2.88,2037,2087,63.7,105.7,0.45,0.421,0.56,50.7,55.1,8.8,6.5,0.523,17.1,28.5,0.313,2015,1131
bowling green state,31,20,11,0.645,4.41,-0.73,2070,1930,63.8,104.2,0.329,0.357,0.53,50.9,51.9,10.6,10.8,0.496,15.9,31.1,0.234,2015,1132
bradley,33,9,24,0.273,-4.37,1.44,1882,2026,61.1,91.9,0.377,0.349,0.469,50.5,48.2,11.1,8.4,0.429,17.4,32.5,0.25,2015,1133
brigham young,34,25,9,0.735,14.29,5.38,2841,2467,70.4,116.9,0.423,0.361,0.582,53.4,60.3,10.6,7.8,0.537,14.3,34.5,0.325,2015,1140
brown,31,13,18,0.419,-6.98,-1.74,2048,2144,67.6,97.3,0.448,0.338,0.52,51.1,53.8,6.6,12.8,0.477,19.1,30.6,0.309,2015,1135
bryant,31,16,15,0.516,-6.09,-4.74,2058,2100,63.8,102.9,0.328,0.388,0.529,49,53.7,7.9,7.5,0.488,16,29.5,0.246,2015,1136
bucknell,33,19,14,0.576,-3.58,-2.83,2272,2273,64,106,0.403,0.329,0.543,51.4,55.5,6.4,8,0.505,15,29.5,0.282,2015,1137
buffalo,32,23,9,0.719,8.41,1.69,2400,2185,68.9,108.9,0.423,0.302,0.532,52.1,51.5,11.1,9.8,0.486,13.9,34.7,0.305,2015,1138
butler,32,22,10,0.688,16.7,8.33,2226,1958,64.5,106.5,0.405,0.29,0.527,54.8,47.4,9.8,7.5,0.491,14.9,35.5,0.276,2015,1139
cal poly,29,13,16,0.448,-0.26,0.74,1752,1721,59.3,101,0.318,0.335,0.479,51,47.6,9.1,8.2,0.442,12.3,32.6,0.218,2015,1142
cal state bakersfield,33,14,19,0.424,-6.42,-5.82,2100,2028,61.1,102.1,0.393,0.325,0.52,53.8,59.7,9.2,5.1,0.474,17,34.2,0.284,2015,1167
cal state fullerton,31,9,22,0.29,-8.35,-0.84,1991,2155,65.6,96.7,0.368,0.309,0.5,50.7,43.7,7.6,5.3,0.461,16.6,29.2,0.253,2015,1168
cal state northridge,33,9,24,0.273,-6.44,0.56,2148,2325,65.9,98,0.418,0.193,0.514,50.4,59.9,8.2,8.9,0.456,17.4,29.7,0.32,2015,1169
california-davis,31,25,6,0.806,2.42,-2.96,2199,1991,63,111.3,0.385,0.386,0.61,49.7,55.1,8.1,6.6,0.581,19.1,28.5,0.281,2015,1413
california-irvine,33,21,12,0.636,3.51,0.15,2240,2056,63.9,105.5,0.3,0.302,0.545,51.1,56.6,8.9,13.2,0.52,15.8,30,0.205,2015,1414
california-riverside,31,14,17,0.452,-4.45,-0.96,2025,2050,65.2,99,0.35,0.357,0.513,51.2,56.4,10.2,10.2,0.479,17.5,31.3,0.239,2015,1415
california-santa barbara,32,19,13,0.594,4.08,1.38,2171,2021,62.5,106.6,0.314,0.328,0.535,50.9,63.5,8.1,9.8,0.499,14.9,31.6,0.232,2015,1364
california,33,18,15,0.545,5.64,6.43,2195,2221,66.3,99.6,0.304,0.276,0.513,50.6,50.2,6.2,9.4,0.489,14.7,26,0.197,2015,1143
campbell,32,10,22,0.313,-11.09,-5.26,2045,2124,63.3,100.6,0.361,0.445,0.528,48.4,59.4,11.1,10,0.505,17.4,28.5,0.226,2015,1144
canisius,30,16,14,0.533,-0.78,-2.71,1926,1868,63.8,99.8,0.317,0.361,0.496,50.1,62,10.4,9.2,0.458,15.8,34.1,0.225,2015,1145
central arkansas,29,2,27,0.069,-22.65,-5.75,1894,2384,71.3,91.6,0.393,0.365,0.524,45.8,55.9,8.8,11.8,0.488,22.8,28,0.266,2015,1146
central connecticut state,31,5,26,0.161,-16.39,-5.45,1834,2173,64,92.1,0.286,0.271,0.482,48.9,50.4,7.7,8.9,0.446,18.4,30.9,0.203,2015,1148
central florida,30,12,18,0.4,-5.51,1.01,1981,2153,64,100.7,0.356,0.356,0.523,47.5,52.4,7.9,12.3,0.497,17.2,30.7,0.229,2015,1416
central michigan,30,22,8,0.733,6.43,-0.82,2319,2034,65.8,116.9,0.37,0.486,0.588,49.9,53.1,10.4,8.9,0.556,13.4,30.1,0.271,2015,1141
