Team,Record,BRRtg,TeamID,Season
alabama,29-5,2.37,1104,2023
houston,31-3,2.36,1222,2023
purdue,29-5,2.18,1345,2023
kansas,27-7,2.17,1242,2023
gonzaga,27-5,2.13,1211,2023
ucla,29-5,2.07,1417,2023
san diego state,26-6,1.95,1361,2023
marquette,28-6,1.94,1266,2023
texas,26-8,1.93,1400,2023
florida atlantic,29-3,1.93,1194,2023
arizona,28-6,1.89,1112,2023
duke,26-8,1.78,1181,2023
saint mary's (ca),25-7,1.76,1388,2023
college of charleston,30-3,1.72,1158,2023
virginia,25-7,1.71,1438,2023
baylor,22-10,1.68,1124,2023
memphis,26-8,1.66,1272,2023
uconn,25-8,1.65,1163,2023
utah state,25-8,1.64,1429,2023
miami (fl),25-7,1.61,1274,2023
kansas state,23-9,1.59,1243,2023
xavier,25-9,1.57,1462,2023
oral roberts,26-4,1.57,1331,2023
missouri,24-9,1.56,1281,2023
texas a&m,25-9,1.56,1401,2023
tennessee,23-10,1.53,1397,2023
boise state,23-9,1.45,1129,2023
vcu,27-7,1.44,1433,2023
indiana,22-11,1.4,1231,2023
north texas,24-7,1.38,1317,2023
north carolina state,23-10,1.34,1301,2023
kentucky,21-11,1.33,1246,2023
kent state,26-6,1.29,1245,2023
arkansas,20-13,1.28,1116,2023
texas christian,21-12,1.27,1395,2023
nevada,21-10,1.27,1305,2023
iowa state,19-13,1.26,1235,2023
auburn,20-12,1.26,1120,2023
drake,26-7,1.25,1179,2023
west virginia,19-14,1.21,1452,2023
creighton,21-12,1.2,1166,2023
usc,22-10,1.2,1425,2023
northwestern,21-11,1.18,1321,2023
santa clara,22-9,1.18,1365,2023
michigan state,19-12,1.18,1277,2023
penn state,22-13,1.18,1336,2023
mississippi state,21-12,1.17,1280,2023
maryland,21-12,1.15,1268,2023
alabama-birmingham,24-9,1.15,1412,2023
unc,20-13,1.14,1314,2023
illinois,20-12,1.13,1228,2023
vanderbilt,20-14,1.13,1435,2023
clemson,23-10,1.1,1155,2023
pitt,22-11,1.09,1338,2023
providence,21-11,1.08,1344,2023
liberty,23-8,1.08,1251,2023
new mexico,21-11,1.07,1307,2023
arizona state,22-12,1.06,1113,2023
bradley,24-9,1.06,1133,2023
sam houston state,21-7,1.02,1358,2023
toledo,26-7,1.02,1405,2023
louisiana-lafayette,23-7,1.01,1418,2023
oklahoma state,18-15,1.01,1329,2023
iona,27-7,0.99,1233,2023
southern miss,22-7,0.99,1379,2023
utah valley,22-8,0.97,1430,2023
fordham,25-8,0.96,1200,2023
iowa,19-13,0.96,1234,2023
kennesaw state,23-8,0.92,1244,2023
oregon,19-14,0.92,1332,2023
saint louis,20-12,0.89,1387,2023
rutgers,19-14,0.88,1353,2023
cincinnati,20-12,0.87,1153,2023
wisconsin,17-14,0.87,1458,2023
san jose state,19-13,0.87,1363,2023
virginia tech,19-14,0.86,1439,2023
hofstra,23-9,0.86,1220,2023
ucsb,25-7,0.82,1364,2023
wake forest,19-14,0.81,1448,2023
marshall,23-8,0.81,1267,2023
tulane,20-11,0.81,1408,2023
oklahoma,15-17,0.8,1328,2023
dayton,22-12,0.8,1173,2023
unlv,18-13,0.79,1424,2023
michigan,17-15,0.79,1276,2023
furman,24-7,0.78,1202,2023
florida,16-16,0.75,1196,2023
southern illinois,22-10,0.73,1356,2023
loyola marymount,18-12,0.72,1258,2023
north carolina-wilmington,22-10,0.71,1423,2023
grand canyon,21-11,0.7,1213,2023
north carolina-asheville,25-7,0.69,1421,2023
texas tech,16-16,0.68,1403,2023
yale,19-8,0.66,1463,2023
ucf,18-14,0.66,1416,2023
nebraska,16-16,0.66,1304,2023
seton hall,16-15,0.62,1371,2023
vermont,22-10,0.62,1436,2023
st. john's (ny),18-15,0.62,1385,2023
montana state,23-9,0.61,1286,2023
villanova,17-16,0.6,1437,2023
princeton,19-8,0.6,1343,2023
colgate,25-8,0.6,1159,2023
akron,20-11,0.59,1103,2023
san francisco,19-14,0.59,1362,2023
