team,opp,div_game
ARI,SF,1
ARI,LA,1
ARI,SEA,1
ARI,DET,0
ARI,IND,0
ARI,DAL,0
ARI,PHI,0
ARI,TB,0
ARI,HOU,0
ARI,JAX,0
ARI,TEN,0
ARI,WAS,0
ARI,NYG,0
ARI,CHI,0
ARI,MIN,0
ARI,DEN,0
ARI,KC,0
ARI,LV,0
ARI,LAC,0
ARI,GB,0
ARI,ATL,0
ARI,BAL,0
ARI,CAR,0
ARI,CIN,0
ARI,NO,0
ARI,PIT,0
ARI,CLE,0
ARI,NYJ,0
ARI,MIA,0
ARI,BUF,0
ARI,NE,0
ATL,CAR,1
ATL,TB,1
ATL,NO,1
ATL,CHI,0
ATL,GB,0
ATL,DET,0
ATL,BUF,0
ATL,MIA,0
ATL,NE,0
ATL,NYJ,0
ATL,DAL,0
ATL,SEA,0
ATL,MIN,0
ATL,LA,0
ATL,PHI,0
ATL,CIN,0
ATL,PIT,0
ATL,NYG,0
ATL,WAS,0
ATL,CLE,0
ATL,BAL,0
ATL,ARI,0
ATL,IND,0
ATL,TEN,0
ATL,HOU,0
ATL,SF,0
ATL,JAX,0
ATL,DEN,0
ATL,LV,0
ATL,LAC,0
ATL,KC,0
BAL,CIN,1
BAL,CLE,1
BAL,PIT,1
BAL,JAX,0
BAL,LV,0
BAL,CHI,0
BAL,MIN,0
BAL,MIA,0
BAL,TEN,0
BAL,GB,0
BAL,HOU,0
BAL,DET,0
BAL,IND,0
BAL,BUF,0
BAL,DEN,0
BAL,NO,0
BAL,CAR,0
BAL,ATL,0
BAL,KC,0
BAL,TB,0
BAL,LAC,0
BAL,ARI,0
BAL,SEA,0
BAL,NE,0
BAL,LA,0
BAL,SF,0
BAL,NYJ,0
BAL,WAS,0
BAL,PHI,0
BAL,DAL,0
BAL,NYG,0
BUF,NYJ,1
BUF,NE,1
BUF,MIA,1
BUF,CAR,0
BUF,DEN,0
BUF,ATL,0
BUF,CIN,0
BUF,TB,0
BUF,LV,0
BUF,NO,0
BUF,LAC,0
BUF,KC,0
BUF,IND,0
BUF,JAX,0
BUF,BAL,0
BUF,MIN,0
BUF,GB,0
BUF,TEN,0
BUF,HOU,0
BUF,CHI,0
BUF,DET,0
BUF,NYG,0
BUF,PHI,0
BUF,WAS,0
BUF,CLE,0
BUF,DAL,0
BUF,PIT,0
BUF,LA,0
BUF,SEA,0
BUF,ARI,0
BUF,SF,0
CAR,NO,1
CAR,TB,1
CAR,ATL,1
CAR,SF,0
CAR,BUF,0
CAR,NE,0
CAR,DET,0
CAR,PHI,0
CAR,CHI,0
CAR,MIA,0
CAR,NYJ,0
CAR,MIN,0
CAR,GB,0
CAR,DAL,0
CAR,CIN,0
CAR,NYG,0
CAR,WAS,0
CAR,BAL,0
CAR,PIT,0
CAR,SEA,0
CAR,CLE,0
CAR,LA,0
CAR,ARI,0
CAR,HOU,0
CAR,JAX,0
CAR,TEN,0
CAR,IND,0
CAR,LV,0
CAR,LAC,0
CAR,KC,0
CAR,DEN,0
CHI,GB,1
CHI,MIN,1
CHI,DET,1
CHI,ATL,0
CHI,TB,0
CHI,PIT,0
CHI,BAL,0
CHI,CAR,0
CHI,NO,0
CHI,PHI,0
CHI,SF,0
CHI,CIN,0
CHI,CLE,0
CHI,SEA,0
CHI,ARI,0
CHI,MIA,0
CHI,NE,0
CHI,NYJ,0
CHI,BUF,0
CHI,NYG,0
CHI,LA,0
CHI,DEN,0
CHI,WAS,0
CHI,LV,0
CHI,LAC,0
CHI,DAL,0
CHI,KC,0
CHI,IND,0
CHI,TEN,0
CHI,HOU,0
CHI,JAX,0
CIN,BAL,1
CIN,CLE,1
CIN,PIT,1
CIN,HOU,0
CIN,GB,0
CIN,BUF,0
CIN,IND,0
CIN,JAX,0
CIN,TEN,0
CIN,DEN,0
CIN,CHI,0
CIN,MIN,0
CIN,DET,0
CIN,CAR,0
CIN,ATL,0
CIN,MIA,0
CIN,KC,0
CIN,TB,0
CIN,NO,0
CIN,LAC,0
CIN,LV,0
CIN,SEA,0
CIN,SF,0
CIN,ARI,0
CIN,LA,0
CIN,NYJ,0
CIN,NE,0
CIN,PHI,0
CIN,WAS,0
CIN,NYG,0
CIN,DAL,0
CLE,PIT,1
CLE,BAL,1
CLE,CIN,1
CLE,IND,0
CLE,NYJ,0
CLE,HOU,0
CLE,TEN,0
CLE,MIN,0
CLE,DET,0
CLE,JAX,0
CLE,LAC,0
CLE,GB,0
CLE,CHI,0
CLE,NO,0
CLE,LV,0
CLE,TB,0
CLE,KC,0
CLE,ATL,0
CLE,CAR,0
CLE,DEN,0
CLE,LA,0
CLE,SF,0
CLE,SEA,0
CLE,NE,0
CLE,BUF,0
CLE,MIA,0
CLE,ARI,0
CLE,WAS,0
CLE,DAL,0
CLE,PHI,0
CLE,NYG,0
DAL,NYG,1
DAL,WAS,1
DAL,PHI,1
DAL,DEN,0
DAL,ARI,0
DAL,LA,0
DAL,GB,0
DAL,SF,0
DAL,KC,0
DAL,ATL,0
DAL,LAC,0
DAL,LV,0
DAL,SEA,0
DAL,CAR,0
DAL,DET,0
DAL,HOU,0
DAL,JAX,0
DAL,TEN,0
DAL,NO,0
DAL,IND,0
DAL,TB,0
DAL,MIA,0
DAL,NYJ,0
DAL,MIN,0
DAL,NE,0
DAL,BUF,0
DAL,CHI,0
DAL,CLE,0
DAL,PIT,0
DAL,BAL,0
DAL,CIN,0
DEN,LAC,1
DEN,LV,1
DEN,KC,1
DEN,DAL,0
DEN,BUF,0
DEN,NYG,0
DEN,PHI,0
DEN,NE,0
DEN,CIN,0
DEN,MIA,0
DEN,NYJ,0
DEN,IND,0
DEN,WAS,0
DEN,SEA,0
DEN,BAL,0
DEN,LA,0
DEN,ARI,0
DEN,HOU,0
DEN,PIT,0
DEN,SF,0
DEN,CLE,0
DEN,CHI,0
DEN,GB,0
DEN,JAX,0
DEN,TEN,0
DEN,MIN,0
DEN,DET,0
DEN,TB,0
DEN,ATL,0
DEN,NO,0
DEN,CAR,0
DET,MIN,1
DET,GB,1
DET,CHI,1
DET,ARI,0
DET,NYG,0
DET,ATL,0
DET,CAR,0
DET,NO,0
DET,PIT,0
DET,CLE,0
DET,BAL,0
DET,TB,0
DET,CIN,0
DET,NYJ,0
DET,SF,0
DET,NE,0
