Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
houston,Amer,28.82,118.4,89.6,63.3,0.025,4.2,107.3,103.1,0.63,1222,2023
alabama,SEC,27.55,116.2,88.6,72.7,0.074,11.66,110.8,99.2,10.54,1104,2023
ucla,P12,27.46,114.8,87.3,66.2,-0.001,8.82,109.6,100.8,0.75,1417,2023
connecticut,BE,25.4,119.5,94.1,66.7,-0.061,8.53,109.1,100.5,-1.41,1163,2023
tennessee,SEC,24.7,112.7,88,65.5,-0.071,8.76,109.4,100.7,3.11,1397,2023
purdue,B10,24.6,119.3,94.7,64.3,0.032,9.88,110.5,100.6,1.04,1345,2023
texas,B12,24.59,116.6,92,69.1,0.02,12.12,111.1,98.9,-0.64,1400,2023
gonzaga,WCC,24.32,124,99.7,70,0.047,7.49,110.2,102.7,8.31,1211,2023
kansas,B12,23.18,114.6,91.4,69.2,0.106,14.3,111.8,97.5,6.9,1242,2023
arizona,P12,22.69,119.9,97.2,72.3,0.041,8.65,107.8,99.2,3.47,1112,2023
saint mary's,WCC,21.93,113.5,91.6,61.7,0.004,6.4,110.3,103.9,4.66,1388,2023
marquette,BE,21.88,119.4,97.5,68.3,0.014,8.72,109.5,100.8,-1.07,1266,2023
creighton,BE,20.68,114.7,94,67.9,-0.074,10.35,110.8,100.5,6.41,1166,2023
san diego st.,MWC,20.22,111.9,91.7,66,0.047,8.93,110.4,101.5,7.43,1361,2023
baylor,B12,19.97,121.8,101.9,66.5,0.032,12.9,110.8,97.9,1.82,1124,2023
xavier,BE,19.73,119.3,99.6,70.3,-0.004,9.81,110.3,100.5,3.91,1462,2023
west virginia,B12,19.2,117.2,98,68.8,-0.054,12.79,111,98.2,2.37,1452,2023
utah st.,MWC,18.82,117.7,98.9,68.7,0.008,7.61,108.8,101.2,3.4,1429,2023
memphis,Amer,18.7,114.7,96,71.8,-0.037,7.23,108.5,101.3,6.61,1272,2023
arkansas,SEC,18.62,112.6,94,69.6,-0.072,9.87,109.9,100.1,3.65,1116,2023
duke,ACC,18.54,113.3,94.8,65.2,0.059,6.81,109.8,103,2.08,1181,2023
florida atlantic,CUSA,18.45,114.4,96,68.4,0.053,0.59,105.6,105,-2.56,1194,2023
maryland,B10,18.43,114.2,95.7,64.6,-0.039,8.07,109.4,101.3,-3.93,1268,2023
iowa st.,B12,18.35,109.9,91.6,64.3,-0.034,12.89,112.4,99.5,-1.28,1235,2023
kansas st.,B12,18.33,112.6,94.2,70.2,0.036,10.4,109.4,99,-2.61,1243,2023
texas a&m,SEC,18.28,114.5,96.2,66.1,0.042,7.82,108.7,100.9,-2.53,1401,2023
tcu,B12,18.06,112.4,94.3,69.8,-0.034,10.69,109.8,99.1,-7.11,1395,2023
kentucky,SEC,17.83,117.5,99.7,66,-0.014,8.67,109.3,100.7,0.78,1246,2023
auburn,SEC,17.43,112.7,95.3,67.6,-0.029,9.7,109.5,99.8,3.79,1120,2023
indiana,B10,17.39,114.6,97.2,68.1,0.022,10.62,110.7,100.1,-3.41,1231,2023
boise st.,MWC,17.09,111,93.9,66.5,0.013,7.53,109.5,101.9,1.26,1129,2023
michigan st.,B10,16.74,113.4,96.6,64.9,0.015,12.29,112.3,100.1,5.69,1277,2023
illinois,B10,16.55,112.2,95.6,69.3,-0.045,8.54,109.2,100.6,-6.02,1228,2023
virginia,ACC,16.45,111.2,94.7,61.5,0.045,5.62,108.5,102.9,1.84,1438,2023
iowa,B10,15.66,120.5,104.8,69.5,-0.042,9.67,109,99.3,-2.06,1234,2023
usc,P12,15.48,113,97.6,68.1,0.018,7.69,107.3,99.6,1.69,1425,2023
rutgers,B10,15.32,106.4,91.1,65.8,-0.105,7.84,109.8,102,-7.8,1353,2023
oklahoma st.,B12,15.22,107.8,92.6,67.5,-0.026,12.33,110.8,98.5,0.71,1329,2023
penn st.,B10,15.09,116.8,101.7,64.6,0.009,9.77,109.7,99.9,-4.73,1336,2023
miami fl,ACC,14.95,118.2,103.3,68.8,0.017,4.77,108,103.2,-2.84,1274,2023
north texas,CUSA,14.9,110.3,95.4,58.7,0.059,2.06,106.1,104,1.81,1317,2023
northwestern,B10,14.88,108.5,93.6,64.9,0.033,8.65,109.5,100.9,-4.23,1321,2023
michigan,B10,14.84,112.9,98.1,67.5,-0.065,9.44,109.8,100.4,0.12,1276,2023
nevada,MWC,14.77,112,97.3,66,0.013,7.67,109.4,101.8,3.79,1305,2023
providence,BE,14.76,116.9,102.1,66.9,-0.01,6.57,108.3,101.7,-8.99,1344,2023
north carolina,ACC,14.71,112.2,97.5,68.9,-0.072,7.63,109.5,101.9,7.05,1314,2023
oregon,P12,14.65,114.4,99.7,66.2,-0.015,9.86,108.9,99.1,6.16,1332,2023
liberty,ASun,14.48,111.8,97.4,64.7,-0.025,-2.3,103.9,106.2,1.54,1251,2023
ohio st.,B10,14.04,115.9,101.8,66,-0.12,11.36,110.6,99.3,-2.48,1326,2023
mississippi st.,SEC,13.97,105.1,91.2,63.7,-0.008,7.71,108.8,101.1,-3.36,1280,2023
missouri,SEC,13.92,119.3,105.4,69.1,0.11,7.73,108.1,100.4,-4.71,1281,2023
new mexico,MWC,13.83,116.1,102.3,71.6,-0.03,5.68,108.2,102.5,-0.44,1307,2023
