Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
kentucky,SEC,0.9787,119.7,85.8,63.4,0.055,0.6679,105.3,99.1,0.5662,1246,2015
arizona,P12,0.9674,116,86.4,66.7,-0.028,0.6482,105.1,99.6,0.5043,1112,2015
wisconsin,B10,0.9615,124.7,94.3,58.7,0.009,0.7039,106,98.4,0.6288,1458,2015
virginia,ACC,0.9587,112.2,85.4,58.2,0.032,0.6758,105.6,99,0.5042,1438,2015
villanova,BE,0.9571,120.8,92.2,64.5,0.044,0.6779,105.1,98.5,0.5109,1437,2015
gonzaga,WCC,0.944,119.4,93.4,65.1,0.013,0.5941,104.7,101.3,0.6052,1211,2015
duke,ACC,0.9395,122,96.1,66.2,0.067,0.707,107.1,99.2,0.5507,1181,2015
utah,P12,0.9275,113,90.6,61.2,-0.056,0.6591,105.5,99.6,0.5205,1428,2015
oklahoma,B12,0.915,109.3,88.9,67.6,-0.046,0.7436,107.9,98.3,0.5454,1328,2015
notre dame,ACC,0.9127,122.2,99.7,64.1,0.064,0.6038,104.3,100.6,0.2417,1323,2015
kansas,B12,0.9111,110.8,90.5,67.4,0.079,0.7946,108.5,96.4,0.7299,1242,2015
northern iowa,MVC,0.908,113.8,93.2,58.5,0.01,0.5139,102,101.6,0.5171,1320,2015
iowa st.,B12,0.9047,118.9,97.7,69.6,0.023,0.7319,106.4,97.5,0.461,1235,2015
wichita st.,MVC,0.9044,113,92.9,62.1,0.018,0.5441,102,100.4,0.595,1455,2015
baylor,B12,0.9038,114.8,94.5,62.2,-0.018,0.7356,106.4,97.4,0.4988,1124,2015
north carolina,ACC,0.9019,115.3,95,70,-0.034,0.7663,108.1,97.5,0.6948,1314,2015
michigan st.,B10,0.8786,114.1,96.1,63.7,-0.053,0.6912,107.1,99.9,0.5027,1277,2015
louisville,ACC,0.8756,105.9,89.4,65.5,0.027,0.687,106.2,99.2,0.452,1257,2015
smu,Amer,0.8734,112.3,94.9,63.8,0.014,0.5771,103.3,100.5,0.5614,1374,2015
texas,B12,0.8725,110.3,93.3,62.3,-0.071,0.7153,106.2,98,0.4778,1400,2015
ohio st.,B10,0.868,111.6,94.7,66.4,-0.051,0.6205,105.1,100.7,0.341,1326,2015
georgetown,BE,0.867,110.3,93.7,64.4,-0.002,0.723,107.6,99,0.5912,1207,2015
butler,BE,0.8624,107.5,91.7,63.8,-0.014,0.6833,107,100,0.4922,1139,2015
iowa,B10,0.8594,111.1,94.9,64.3,-0.003,0.667,105.5,99.3,0.474,1234,2015
west virginia,B12,0.8539,111.2,95.4,68.7,0.05,0.7073,106.3,98.4,0.4364,1452,2015
xavier,BE,0.8518,111.9,96.1,65.7,-0.063,0.7251,106.7,98,0.5499,1462,2015
san diego st.,MWC,0.8468,102.4,88.3,60.7,0.014,0.5766,103.6,100.8,0.6003,1361,2015
providence,BE,0.8458,110.7,95.5,65.7,0.043,0.7316,107.2,98.2,0.5818,1344,2015
arkansas,SEC,0.8416,113,97.7,70,0.047,0.6463,105.2,99.8,0.4479,1116,2015
vcu,A10,0.84,108.1,93.6,67.1,0.059,0.6681,105.8,99.5,0.719,1433,2015
byu,WCC,0.8395,116.7,101.1,70.4,-0.042,0.611,104.9,100.9,0.5914,1140,2015
davidson,A10,0.8319,118.5,103.1,67,0.037,0.5724,103,100.4,0.4546,1172,2015
maryland,B10,0.8289,108.5,94.6,64.4,0.131,0.6493,105.6,100.1,0.4486,1268,2015
cincinnati,Amer,0.8242,106.7,93.3,60,-0.027,0.5699,102.2,99.8,0.5476,1153,2015
stephen f. austin,Slnd,0.8183,113,99.1,66.8,0.03,0.3981,101.1,104.9,0.5585,1372,2015
georgia,SEC,0.8178,107,93.9,64.2,0.01,0.6998,106.1,98.6,0.5335,1208,2015
oklahoma st.,B12,0.8141,109.4,96.2,63.3,-0.034,0.7385,105.7,96.6,0.4677,1329,2015
north carolina st.,ACC,0.8111,111.5,98.2,64.4,-0.02,0.6916,106.4,99.2,0.4806,1301,2015
boise st.,MWC,0.8091,109.4,96.5,63.7,0.027,0.5195,102.7,102,0.5301,1129,2015
dayton,A10,0.8057,107.1,94.7,64,0.022,0.5653,102.8,100.5,0.5063,1173,2015
ucla,P12,0.8056,110.2,97.4,66,0.026,0.6875,105.2,98.2,0.5839,1417,2015
st. john's,BE,0.8019,108.1,95.7,67.1,0.058,0.6806,106.4,99.6,0.4636,1385,2015
lsu,SEC,0.8006,106.8,94.7,69.8,-0.027,0.6127,103.8,99.7,0.3941,1261,2015
mississippi,SEC,0.7996,112.9,100.1,66.4,-0.056,0.6586,104.5,98.7,0.484,1279,2015
florida,SEC,0.7988,103.4,91.7,62.9,-0.117,0.7402,107.2,97.9,0.6024,1196,2015
oregon,P12,0.7972,113.3,100.6,66.5,0.127,0.6529,105.5,99.9,0.4332,1332,2015
vanderbilt,SEC,0.7968,112.3,99.7,63.4,-0.108,0.619,103.3,99,0.3947,1435,2015
stanford,P12,0.7852,111.1,99.3,65.3,-0.033,0.6686,106.2,99.9,0.5384,1390,2015
purdue,B10,0.7825,108.5,97.1,64.5,0.01,0.6535,106.2,100.5,0.4189,1345,2015
texas a&m;,SEC,0.7808,105.9,94.8,64,-0.006,0.6321,104.5,99.7,0.4536,0,2015
richmond,A10,0.7804,106,94.9,61.7,-0.081,0.5937,104,100.6,0.5059,1350,2015
miami fl,ACC,0.7764,109.2,98,62.5,0.001,0.6542,105.1,99.4,0.4512,1274,2015
indiana,B10,0.7762,116.6,104.7,66.6,-0.032,0.629,104.9,100.2,0.3699,1231,2015
buffalo,MAC,0.7759,109.8,98.5,69.3,0.011,0.576,104.6,101.9,0.5951,1138,2015
rhode island,A10,0.7723,101.4,91.2,65.8,0,0.5485,102,100.2,0.4542,1348,2015
temple,Amer,0.7716,102,91.7,65.8,0.076,0.5812,103.3,100.4,0.5599,1396,2015
tcu,B12,0.7657,106,95.6,64.3,-0.08,0.6051,104.1,100.3,0.1787,1395,2015
minnesota,B10,0.7588,110.2,99.8,67.6,-0.099,0.6471,104.4,99,0.3735,1278,2015
connecticut,Amer,0.7543,106,96.1,61.9,-0.058,0.5816,103,100.1,0.5724,1163,2015
illinois st.,MVC,0.7539,106.3,96.5,65,-0.039,0.5721,103.8,101.2,0.5321,1229,2015
alabama,SEC,0.7525,108.3,98.3,62.1,-0.019,0.6826,105.8,99,0.4896,1104,2015
