TEAM,TOUR,YEAR,LOCATION,PLAYER,WC,RANK,WP,DP,SUM FP,SUM WINS,SUM DOUBLE,SUM TITLE
SH,ATP,2026,Brisbane,Tommy Paul,0,20,,,-47.00,0,0,0
SH,ATP,2026,Brisbane,Joao Fonseca,0,24,,,0.00,0,0,0
SH,ATP,2026,Auckland,Hamad Medjedovic,0,96,,,247.00,1,0,0
SH,ATP,2026,Auckland,Marcos Giron,0,60,,,366.00,3,0,0
SH,ATP,2026,Australian Open,Jannik Sinner,0,2,,,1014.04,5,0,0
SH,ATP,2026,Australian Open,Rafael Jodar,0,150,,,472.50,1,0,0
SH,ATP,2026,Australian Open,Casper Ruud,0,13,,,661.18,3,0,0
SH,ATP,2026,Australian Open,Alexander Blockx,0,96,,,-23.78,0,0,0
SH,ATP,2026,Australian Open,Stefanos Tsitsipas,0,35,,,257.88,1,0,0
SH,ATP,2026,Australian Open,Yibing Wu,0,168,,,488.52,1,0,0
SH,ATP,2026,Australian Open,Daniil Medvedev,0,12,,,649.24,3,0,0
SH,ATP,2026,Australian Open,Juncheng Shang,0,318,,,766.10,1,0,0
SH,WTA,2026,Australian Open,Elena Rybakina,0,5,,,1602.50,7,0,1
SH,WTA,2026,Australian Open,Marta Kostyuk,0,20,,,-19.49,0,0,0
SH,WTA,2026,Australian Open,Elise Mertens,0,21,,,698.50,3,0,0
SH,WTA,2026,Australian Open,Tereza Valentova,0,60,,,576.41,2,0,0
SH,WTA,2026,Australian Open,Belinda Bencic,0,10,,,154.68,1,0,0
SH,WTA,2026,Australian Open,Karolina Muchova,0,19,,,691.90,3,0,0
SH,WTA,2026,Australian Open,Maria Sakkari,0,53,,,291.00,1,0,0
SH,WTA,2026,Australian Open,Amanda Anisimova,0,4,,,1023.24,4,1,0
SH,WTA,2026,Doha,Linda Noskova,0,12,,,265.88,1,0,0
SH,WTA,2026,Doha,Katerina Siniakova,0,44,,,319.04,1,0,0
SH,WTA,2026,Doha,Janice Tjen,1,46,,,339.16,1,0,0
SH,WTA,2026,Doha,Tereza Valentova,0,48,,,320.18,1,0,0
SH,WTA,2026,Doha,Anastasia Pavlyuchenkova,0,110,,,86.58,0,0,0
SH,ATP,2026,Dallas,Learner Tien,0,24,,,35.42,0,0,0
SH,ATP,2026,Dallas,Grigor Dimitrov,0,43,,,61.15,0,0,0
SH,ATP,2026,Dallas,Adam Walton,0,81,,,72.99,0,0,0
SH,ATP,2026,Dallas,Rafael Jodar,0,124,,,85.37,0,0,0
SH,ATP,2026,Dallas,Michael Zheng,1,151,,,92.52,0,0,0
SH,WTA,2026,Dubai,Mirra Andreeva,0,7,,,436.83,2,0,0
SH,WTA,2026,Dubai,Elina Svitolina,0,9,,,942.38,4,0,0
SH,WTA,2026,Dubai,Anna Kalinskaya,0,28,,,305.36,1,0,0
SH,WTA,2026,Dubai,Sara Bejlek,0,38,,,292.97,1,0,0
SH,WTA,2026,Dubai,Jessica Bouzas Maneiro,1,45,,,72.63,0,0,0
SH,ATP,2026,Doha,Jannik Sinner,0,2,,,378.27,2,0,0
SH,ATP,2026,Doha,Jakub Mensik,0,16,,,521.33,3,0,0
SH,ATP,2026,Doha,Stefanos Tsitsipas,0,32,,,401.65,2,0,0
SH,ATP,2026,Doha,Arthur Fils,0,42,,,2346.04,4,1,0
SH,ATP,2026,Doha,Giovanni Mpetshi Perricard,1,56,,,38.83,0,0,0
SH,WTA,2026,Austin,Anastasia Zakharova,0,83,,,146.5929736,1,0,0
SH,WTA,2026,Austin,Xinyu Wang,0,30,,,2.795,0,0,0
SH,WTA,2026,Austin,Oksana Selekhmeteva,0,71,,,1374.461385,2,1,0
SH,WTA,2026,Austin,Lulu Sun,0,94,,,8.605,0,0,0
SH,WTA,2026,Austin,Claire Liu,1,202,,,28.257,0,0,0
SH,ATP,2026,Acapulco,Alex de Minaur,0,6,,,5.7112,0,0,0
SH,ATP,2026,Acapulco,Valentin Vacherot,0,27,,,343.4472522,2,0,0
SH,ATP,2026,Acapulco,Sebastian Korda,0,40,,,0.00,0,0,0
SH,ATP,2026,Acapulco,Nuno Borges,0,48,,,32.4943,0,0,0
